orderid,CustomerId,EmployeeId,orderdate,freight
11022,34,9,2016-04-14,6.27
11023,11,1,2016-04-14,123.83
11024,19,4,2016-04-15,74.36
11025,87,6,2016-04-15,29.17
11026,27,4,2016-04-15,47.09
11027,10,1,2016-04-16,52.52
11028,39,2,2016-04-16,29.59
11029,14,4,2016-04-16,47.84
11030,71,7,2016-04-17,830.75
11031,71,6,2016-04-17,227.22
11032,89,2,2016-04-17,606.19
11033,68,7,2016-04-17,84.74
11034,55,8,2016-04-20,40.32
11035,76,2,2016-04-20,0.17
11036,17,8,2016-04-20,149.47
11037,30,7,2016-04-21,3.20
11038,76,1,2016-04-21,29.59
11039,47,1,2016-04-21,65.00
11040,32,4,2016-04-22,18.84
11041,14,3,2016-04-22,48.22
11042,15,2,2016-04-22,29.99
11043,74,5,2016-04-22,8.80
11044,91,4,2016-04-23,8.72
11045,10,6,2016-04-23,70.58
11046,86,8,2016-04-23,71.64
11047,19,7,2016-04-24,46.62
11048,10,7,2016-04-24,24.12
11049,31,3,2016-04-24,8.34
11050,24,8,2016-04-27,59.41
11051,41,7,2016-04-27,2.79
11052,34,3,2016-04-27,67.26
11053,59,2,2016-04-27,53.05
11054,12,8,2016-04-28,0.33
11055,35,7,2016-04-28,120.92
11056,19,8,2016-04-28,278.96
11057,53,3,2016-04-29,4.13
11058,6,9,2016-04-29,31.14
11059,67,2,2016-04-29,85.80
11060,27,2,2016-04-30,10.98
11061,32,4,2016-04-30,14.01
11062,66,4,2016-04-30,29.93
11063,37,3,2016-04-30,81.73
11064,71,1,2016-05-01,30.09
11065,46,8,2016-05-01,12.91
11066,89,7,2016-05-01,44.72
11067,17,1,2016-05-04,7.98
11068,62,8,2016-05-04,81.75
11069,80,1,2016-05-04,15.67
11070,44,2,2016-05-05,136.00
11071,46,1,2016-05-05,0.93
11072,20,4,2016-05-05,258.64
11073,58,2,2016-05-05,24.95
11074,73,7,2016-05-06,18.44
11075,68,8,2016-05-06,6.19
11076,9,4,2016-05-06,38.28
11077,65,1,2016-05-06,8.53
